countrycode	country	year	gdppc	pop	Trend	DV1	DV2	SplineBreak1	SplineBreak2
TWN	Taiwan, Province of China	1901	1079	2877	0	0	0	-0	-0
TWN	Taiwan, Province of China	1902	1079	2949	1	0	0	-0	-0
TWN	Taiwan, Province of China	1903	1278	2974	2	0	0	-0	-0
TWN	Taiwan, Province of China	1904	1218	3023	3	0	0	-0	-0
TWN	Taiwan, Province of China	1905	985	3101	4	0	0	-0	-0
TWN	Taiwan, Province of China	1906	1038	3135	5	0	0	-0	-0
TWN	Taiwan, Province of China	1907	1149	3164	6	0	0	-0	-0
TWN	Taiwan, Province of China	1908	1186	3191	7	0	0	-0	-0
TWN	Taiwan, Province of China	1909	1323	3227	8	0	0	-0	-0
TWN	Taiwan, Province of China	1910	1345	3276	9	0	0	-0	-0
TWN	Taiwan, Province of China	1911	1258	3345	10	0	0	-0	-0
TWN	Taiwan, Province of China	1912	1183	3411	11	0	0	-0	-0
TWN	Taiwan, Province of China	1913	1286	3477	12	0	0	-0	-0
TWN	Taiwan, Province of China	1914	1240	3529	13	0	0	-0	-0
TWN	Taiwan, Province of China	1915	1291	3545	14	0	0	-0	-0
TWN	Taiwan, Province of China	1916	1392	3569	15	0	0	-0	-0
TWN	Taiwan, Province of China	1917	1561	3616	16	0	0	-0	-0
TWN	Taiwan, Province of China	1918	1492	3638	17	0	0	-0	-0
TWN	Taiwan, Province of China	1919	1533	3681	18	0	0	-0	-0
TWN	Taiwan, Province of China	1920	1513	3721	19	0	0	-0	-0
TWN	Taiwan, Province of China	1921	1561	3786	20	0	0	-0	-0
TWN	Taiwan, Province of China	1922	1728	3844	21	0	0	-0	-0
TWN	Taiwan, Province of China	1923	1760	3904	22	0	0	-0	-0
TWN	Taiwan, Province of China	1924	1889	3959	23	0	0	-0	-0
TWN	Taiwan, Province of China	1925	1959	4048	24	0	0	-0	-0
TWN	Taiwan, Province of China	1926	1954	4140	25	0	0	-0	-0
TWN	Taiwan, Province of China	1927	1919	4232	26	0	0	-0	-0
TWN	Taiwan, Province of China	1928	1934	4330	27	0	0	-0	-0
TWN	Taiwan, Province of China	1929	1991	4437	28	0	0	-0	-0
TWN	Taiwan, Province of China	1930	2021	4563	29	0	0	-0	-0
TWN	Taiwan, Province of China	1931	1997	4684	30	0	0	-0	-0
TWN	Taiwan, Province of China	1932	2066	4806	31	0	0	-0	-0
TWN	Taiwan, Province of China	1933	1957	4932	32	0	0	-0	-0
TWN	Taiwan, Province of China	1934	2012	5063	33	0	0	-0	-0
TWN	Taiwan, Province of China	1935	2169	5179	34	0	0	-0	-0
TWN	Taiwan, Province of China	1936	2246	5297	35	0	0	-0	-0
TWN	Taiwan, Province of China	1937	2212	5432	36	0	0	-0	-0
TWN	Taiwan, Province of China	1938	2295	5552	37	0	0	-0	-0
TWN	Taiwan, Province of China	1939	2200	5680	38	0	0	-0	-0
TWN	Taiwan, Province of China	1940	1992	5837	39	0	0	-0	-0
TWN	Taiwan, Province of China	1941	NA	6002	40	0	0	-0	-0
TWN	Taiwan, Province of China	1942	NA	6174	41	0	0	-0	-0
TWN	Taiwan, Province of China	1943	NA	6325	42	0	0	-0	-0
TWN	Taiwan, Province of China	1944	NA	6266	43	0	0	-0	-0
TWN	Taiwan, Province of China	1945	NA	6140	44	0	0	-0	-0
